n_species,n_occs,n_singletons,n_endemics,time_bin_duration,range_through_div,n_localities,n_species_area_1,n_species_area_2,n_species_area_3,n_species_area_4,n_species_area_5,n_species_area_6,n_species_area_7,n_species_area_8,n_species_area_9,n_species_area_10,n_species_area_11,n_species_area_12,n_species_area_13,n_occs_area_1,n_occs_area_2,n_occs_area_3,n_occs_area_4,n_occs_area_5,n_occs_area_6,n_occs_area_7,n_occs_area_8,n_occs_area_9,n_occs_area_10,n_occs_area_11,n_occs_area_12,n_occs_area_13,n_locs_area_1,n_locs_area_2,n_locs_area_3,n_locs_area_4,n_locs_area_5,n_locs_area_6,n_locs_area_7,n_locs_area_8,n_locs_area_9,n_locs_area_10,n_locs_area_11,n_locs_area_12,n_locs_area_13,present_diversity
126.19,1269.64,7.04,20.26,6.099999999999986,150.79,320.37,3.0,2.01,0.0,0.0,0.0,82.98,5.0,0.0,29.66,53.97,7.15,0.95,54.98,3.0,2.01,0.0,0.0,0.0,666.02,15.0,0.0,77.44,223.92,10.21,0.97,271.07,1.0,1.01,0.0,0.0,0.0,190.52,6.0,0.0,27.54,42.26,2.07,0.17,49.8,0.0
136.0,1632.86,7.0,23.87,11.5,160.43,388.01,0.0,0.99,0.0,0.0,0.0,104.61,0.0,0.0,27.92,73.66,11.2,21.94,37.47,0.0,0.99,0.0,0.0,0.0,788.77,0.0,0.0,50.96,543.99,31.31,106.24,110.6,0.0,0.99,0.0,0.0,0.0,251.23,0.0,0.0,5.99,79.02,9.93,16.04,24.81,0.0
86.37,290.12,4.03,8.25,2.699999999999995,127.84,74.16,0.0,0.24,0.0,0.0,0.0,48.62,0.0,0.0,18.92,39.48,14.51,0.79,17.03,0.0,0.24,0.0,0.0,0.0,128.01,0.0,0.0,21.75,91.05,21.48,0.79,26.8,0.0,0.12,0.0,0.0,0.0,44.04,0.0,0.0,4.16,12.42,4.0,0.79,8.63,0.0
64.97,264.56,1.25,2.97,3.5,111.68,72.98,3.84,4.07,0.0,0.0,0.0,57.67,0.0,0.0,6.7,16.58,0.12,0.0,9.62,4.24,5.88,0.0,0.0,0.0,210.22,0.0,0.0,8.28,25.31,0.12,0.0,10.51,0.43,2.01,0.0,0.0,0.0,56.09,0.0,0.0,2.42,9.42,0.12,0.0,2.49,0.0
91.71,548.74,4.62,10.43,4.100000000000018,118.53,123.58,11.5,6.98,0.0,0.0,0.0,59.92,0.0,0.0,9.51,53.2,7.27,0.08,21.23,17.6,16.38,0.0,0.0,0.0,312.88,0.0,0.0,13.09,139.85,8.63,0.08,40.23,2.29,4.65,0.0,0.0,0.0,65.18,0.0,0.0,4.88,30.93,3.34,0.08,12.23,0.0
103.89,1121.62,6.19,15.76,6.599999999999989,114.94,238.25,7.33,5.18,0.0,0.0,0.0,45.17,0.08,0.0,17.98,74.88,27.18,2.82,32.76,12.16,6.72,0.0,0.0,0.0,324.56,0.08,0.0,40.74,508.18,61.25,2.96,164.97,5.28,2.36,0.0,0.0,0.0,58.47,0.08,0.0,12.64,76.24,18.54,1.98,62.66,0.0
65.29,338.15,2.87,7.71,12.5,79.5,91.21,0.0,4.78,0.0,0.0,0.0,21.63,0.92,0.0,9.87,55.47,0.0,15.81,0.92,0.0,4.78,0.0,0.0,0.0,46.54,0.92,0.0,11.78,225.25,0.0,47.96,0.92,0.0,2.86,0.0,0.0,0.0,14.47,0.92,0.0,3.88,43.22,0.0,24.94,0.92,0.0
38.36,108.27,0.98,6.03,12.0,49.52,37.81,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,33.43,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,84.27,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,27.81,0.0,3.0,0.0,0.0
19.7,36.21,1.07,3.87,4.400000000000018,33.24,12.1,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,19.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,35.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,11.91,0.0,0.0,0.0,0.0
22.66,36.23,2.22,5.26,3.5,28.85,13.1,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,21.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,11.81,0.0,0.0,0.0,0.0
30.36,43.9,11.73,19.31,6.900000000000009,31.19,8.6,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,29.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,8.08,0.0,0.0,0.0,0.0
1.97,4.39,0.0,0.99,5.1999999999999895,1.97,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39,0.0,0.0,0.0,0.0
