it	posterior	likelihood	prior	q_multi	sig2_hp	t_0.006	t_0.069	t_0.454	t_1.29	t_2.19	t_3.09	t_4.466	t_6.29	t_7.43	t_9.622	t_12.725	t_14.524	t_15.599	t_18.205	t_21.642	t_22.937	t_25.565	t_29.279	t_32.179	t_35.85	t_37.936	t_39.636	t_43.443	t_46.743	t_50.55	t_54.65	t_57.6	t_60.058	t_61.258	t_63.8	t_67.265	t_70.315	t_74.122	t_79.872	t_83.679	t_85.029	t_88.05	t_90.586	t_92.636	t_96.444	t_99.744	t_103.551	t_109.801	t_113.608	t_118.023	t_123.415	t_127.2	t_129.422	t_131.172	t_134.98	t_138.43	t_142.237
201500	-211.25828842927342	-191.9553183470256	-19.302970082247796	1.0	0.07788640579724243	107.47503258490607	105.58363324614075	111.03155189829779	72.80654600811133	117.01698080984865	138.8189434760261	153.83500197933637	173.25680897681696	124.92356687289767	171.89349415506217	187.4047693015113	183.1039911017041	151.5128174100551	208.4702338090021	181.04098026637004	131.81848123969036	154.5277467841368	93.90007294108031	99.03633994059904	218.27282545783868	228.01057053590588	259.73049426255324	239.93223003243665	203.5135844540698	278.0051170680797	216.35215198390682	198.2689455262386	101.1004517575799	121.14438452005302	162.36714278671542	188.26822255678914	203.24677598340497	208.54499910033084	220.9389511251474	152.1992541832053	171.46699392262084	93.21539960287811	93.66057060041832	113.79295307103176	186.8080778166096	126.71386133532552	81.56135431513952	85.65816937345022	29.178455172055056	38.812003388578134	28.26373541074699	17.128915623839788	15.762279400883822	17.017058243546785	33.95085505221531	15.431996961966991	5.825405055032336
202000	-208.13316404866268	-187.2131564023202	-20.920007646342473	1.0	0.08859558253286244	105.68246225346384	104.59929637997082	116.71984926939618	84.65162225239713	122.51702485578375	142.12945394046537	158.66668149976522	156.41878410076131	126.050473823742	166.89237253486968	183.1524906896555	169.95619726564922	149.36557599535246	212.4168518074072	170.05818181195966	171.4602209828723	165.14833517665176	99.3174260513673	89.94632577903465	209.91227926863507	215.50814828758274	254.82163434183343	210.22310133227523	193.07400425009763	265.28262832046954	227.10094571082482	201.8867112338844	93.50063670882685	120.32245625209923	172.27173887652316	187.27776503400312	194.32347581580146	197.20481518885632	229.67453842809797	108.41226487596242	143.35985495858762	94.72543866063458	89.0547108095924	108.40464910463456	178.56297304720613	122.75826971598435	82.62533916047684	79.74620236087372	30.80587627907004	42.622371444449854	31.813546786356373	22.154741781785873	16.97257164187655	16.02418043758249	32.39134713388896	16.64792667927597	5.080329479508807
202500	-202.36708051391116	-188.6989336834978	-13.668146830413349	1.0	0.058224761676224084	94.22838579230844	95.41818711652485	101.47418565151781	104.37069622612746	126.59997378631004	140.51725150008423	151.99488793924345	154.82381869615665	136.78494564369583	174.49225245797462	185.3762482708717	176.56791149800694	149.22555269293954	214.6161251208602	168.42353329269878	160.98563426053778	170.86164862589447	93.97040650710278	92.44470701734276	217.13151055514209	241.9472005648531	261.0912682939764	228.29644901077268	190.71703343515853	260.26472359429124	206.88131242018903	188.2968942623127	106.415902921316	106.25736194796612	170.3010511986152	189.30297437829174	202.68083615286793	184.73280050604365	214.25679728197872	144.2234825950123	148.74386461450425	96.02793488559475	96.24958322946883	105.81648648695048	178.00389981790175	122.55562947981308	82.16643042429011	87.33714575083444	28.239982422789343	39.4733060458519	40.66158444888896	18.105442944990934	15.834158203189704	16.433308540969833	29.825929808681856	17.945400735446206	5.490765780070943
203000	-209.67394233728118	-186.77759910280173	-22.89634323447943	1.0	0.07564638571922673	110.89051668321999	107.00669651892052	117.63850380048996	102.85513555637772	125.18318096055916	135.1404580154534	160.9735490492204	170.25091964909996	152.23684007593258	171.54850951705788	192.54996014395172	178.90317753456384	144.04379465460164	212.506100300877	184.68230817853527	123.5656208288674	157.490227066047	99.33160558510625	94.8912919256084	223.8640077190173	200.40555596043825	244.04747936593128	219.1092943252642	204.16027986328038	270.24469465666414	199.59539888508056	195.52487177137942	89.36794117722779	99.95314716854936	173.05539729385464	193.59278395220738	202.33802847481684	196.08612728082628	221.05426100792283	99.62873529839044	141.23116275697248	93.39475403454101	98.85703348625461	111.8067932012019	174.1155107352748	132.11427931326352	83.33314971757721	94.41909459249948	35.552810539726565	45.241929959871996	40.10484827175367	22.919900608019937	18.060772555815564	17.496685331763572	29.56286598326858	16.20940990607566	5.784065050381416
203500	-209.76974757634585	-193.0472236407703	-16.722523935575538	1.0	0.08133315106480628	100.62385328746437	101.1047098230094	106.86185538467195	86.2700038242777	132.48820153387896	142.75904736488476	152.0879169873366	150.81658551095558	118.1516996417087	176.3550366127214	181.90154078394397	175.03483472363084	152.26642986483506	216.95004472150094	172.7641224999522	169.64971132674384	188.0970080381611	105.69431169759059	100.33508540927842	228.73468685975973	224.68024793453887	245.09800899513687	226.67575520556105	203.04972688507772	258.69040644310314	226.85147651072242	198.89045587612623	105.53764304302736	107.23541823616979	159.03411738131237	188.44465806416824	205.0670887499698	191.78684529122506	215.88919074385566	140.4017738515975	155.484284519934	93.94768095086974	99.2797225320064	118.27019310964687	180.827132964496	120.58602830429162	84.66993912936812	82.03484885158409	33.06688656267845	39.691250552586204	40.228212644342804	16.19252866279013	18.02770241284038	18.7251168808597	29.056021409561808	14.536783821695787	5.088274431054771
204000	-222.44659802056404	-192.60753051485304	-29.839067505711007	1.0	0.12291626090795173	111.06231493701166	110.29273947773227	129.27031649036672	119.11290750509455	95.32130405661721	137.45266355050887	154.81409784396413	155.45915136651874	103.2292676904808	170.34336342404634	202.2873301717857	173.94447691981958	138.55912345340428	215.15844316067847	166.26268360486384	157.2077923503216	179.0465760777859	94.7944241580594	92.12757762880591	229.8287090419416	195.9940903741826	249.26476772603155	247.69771750049028	205.09776841529504	255.63295397738176	227.25859024518434	197.34099046936583	90.69539856192341	102.4189122118203	182.28804784564574	197.88943834833012	206.19670993015737	193.08622173333328	212.11481823038972	117.02249653697908	142.73084068948836	90.81808570661897	94.49545376226357	113.9043864452141	179.45685533308693	115.66545362305031	83.29784639723282	88.23000599051407	22.274514161257947	39.986147261395445	41.87420976132814	18.86284040087924	21.388378080085175	19.592162861227816	34.02423404122479	13.306769886289704	3.753305906172777
204500	-219.2678896800592	-197.3049241174855	-21.96296556257369	1.0	0.08072092488417114	113.29764295081193	109.73485737662031	123.50026653840374	83.57130315283334	112.54556713233497	142.25475236312644	152.02700334444424	149.18297357717657	127.55513725007711	172.64935754892295	187.39836122875852	173.0102134485113	136.1632212228677	216.13690371855685	166.8547671585773	182.5021395009534	168.3052303340848	97.0700282978174	95.59257962261441	222.2566034415084	212.24940055550502	244.0391023695454	241.71829759836953	205.48653380194963	261.71918243118057	222.86396721764942	190.86394361527658	84.69930363512375	122.95658180108379	169.82602624947492	189.03388193793907	200.1284255889251	192.14555059216204	226.61414987955925	128.21312001959245	159.79594523769865	99.30602695405979	89.44921239404019	124.07344923762662	183.9958004091967	134.37896157978003	82.24906802095015	85.45670597192154	29.85664633025666	36.5637345512293	40.74536817065482	19.442817799937487	24.777265920701137	25.31157654261942	38.26425580354156	12.517776322834067	4.432070870706807
205000	-214.34169093701973	-199.92534130439626	-14.416349632623483	1.0	0.04825938001453594	91.48826445254586	92.66470769297601	102.47450107682332	86.48299687488999	146.79107630507227	136.51366026032565	160.3428933067838	158.14081518885143	144.2497233424872	177.109882449915	189.36697312326731	158.78886621484423	150.36213113310643	206.51488176751738	168.21976595186092	158.26680475492896	172.7432804131453	97.18816398154331	101.27389265184648	236.19655230199507	203.29991057316528	254.3747193212692	237.8464357554582	186.71249970396238	269.52451018589653	215.41240754386604	188.44298384904963	88.34919621574974	124.88379634236325	173.25608578039805	187.55780946639197	205.68944068530138	191.23789845444645	215.08745593357642	129.36003758368378	143.10342479284142	89.58907605519212	88.95064291136595	113.81222738392341	175.17051441851098	128.06402757905522	83.04002518356171	90.53323987476902	37.534553109141655	37.48347919102492	31.232335854340008	19.757617471904886	21.08258882826686	21.059371743109757	33.44654739464639	11.531645004869933	5.466015211233758
205500	-213.12215654811416	-195.9210451132188	-17.201111434895342	1.0	0.05529645119621703	120.93255104739916	115.10869431504625	138.80063308100756	104.68006141166423	126.19638904498895	141.7553982784677	168.1323200115472	165.02266322018386	135.1917609463255	165.76570090681804	183.96206202452663	174.0982681788484	148.88190120830546	210.83892711418756	184.0697758543633	142.5131401932544	174.21743450690167	94.16880517783287	96.41467754542076	228.3928813615634	200.11496417536603	253.71584084534362	214.73080419127137	190.9438777781554	260.8015709746331	211.6054579075344	200.7338394282047	134.5130393651993	134.95190670850673	167.95207787792404	179.70005575738935	201.00600934831078	187.92726500843236	221.40211363121716	133.49574996416573	150.83552656399945	92.3746197345661	94.521653478611	106.12867157732575	173.69667433801115	127.89666420407349	78.63218524031711	82.97948816203251	44.02533490579251	33.99738481817195	32.77052496016999	18.69776616478989	26.730047860205868	26.426711745789742	28.84034464357684	12.424895664377765	4.5809653389414375
206000	-215.19983273973156	-203.1169079859113	-12.082924753820278	1.0	0.06731521409675077	107.51987009063525	109.53616999015009	131.38958259225512	107.97275955986866	136.04903204359	149.87037984871637	144.74999137802882	150.01934014425998	129.7919078700849	172.3800403070906	173.71580083832194	174.5392618086214	144.99018135668962	210.30277154929504	184.23549679719378	167.27601866001478	160.59543989627218	88.92427675634464	102.33848658243599	241.27523494413919	217.87562725735185	261.3550011049115	237.46207396234567	188.18107570867787	275.68851590410594	230.10424593324103	200.04754977020687	113.25792404317363	134.40811186596198	156.25893065820603	189.5394411438584	203.82126831981859	206.16525325892113	218.74187586814818	139.65190811218596	146.53291806803284	96.31455023738053	102.1506840087373	113.95305514451404	173.3842295176438	110.69945775177956	81.59569634809134	78.47195975847274	37.5840477976935	36.80746719302199	26.205738613728776	22.433300025727544	22.099026301823205	21.565416725039412	32.10047429837266	14.57321122445595	4.888693480462641
206500	-208.2004965460049	-193.8699600019073	-14.330536544097614	1.0	0.04729363442381242	118.25320843152609	113.241117705941	123.35855122903486	84.69864473126314	129.30738074448914	131.64811785751579	170.4834084811238	165.7890592675963	133.08141250152667	174.97239099601484	186.3628153536712	171.25970943818754	160.3669891530696	204.4262383436481	175.39715296388482	184.490404957091	173.96486792988492	96.95784204551462	101.03661596418618	218.83198591926168	256.4035751095778	266.7919834153711	230.63205160923283	202.36314464248545	258.0307718793697	214.53846286111224	198.0672443730448	97.89207921529592	139.4069305517113	175.40821770658147	196.22766197103238	201.32773652305286	200.82648628467595	218.64091045207982	141.8677318751511	156.41104892715467	96.68421503669079	103.09142940321632	111.6758589428575	171.9169996144597	125.67326714608248	78.76492511597337	77.6603746928852	28.934895966413585	35.66811606559214	27.22782289435778	21.09378119776696	20.28490456439928	20.963474618054875	37.58298964281128	18.27430228413555	6.519101054605644
207000	-216.00622850754777	-195.2455716955736	-20.76065681197416	1.0	0.09800015450685373	105.30973908931246	99.56982376421587	106.82489637329388	107.44144740912185	137.0890740426438	135.5991549047442	161.18965593685542	174.42037406887212	121.75031673696536	174.24594196108816	180.42767570246585	174.8444567745318	149.14320389011164	219.27773989518664	177.16801280945182	180.6282882667998	173.9089245757923	96.85923848342419	103.19968638265195	213.72457229413027	184.87765132444522	246.3425912063992	212.74061987402482	216.6130030867571	259.23738991502523	212.9230015585092	209.3994371066445	97.05021564334638	98.11101293184339	172.54504275163788	191.17707662268316	195.4629354097459	194.69675934272522	221.19774861887794	119.50162633016392	145.12966045832712	87.93037722636214	95.2287705623408	102.78954493615126	175.49909249041244	120.44130735627242	82.63687513955891	80.2941324697461	39.257692081949045	45.62867246209494	28.624538094583915	19.335637572085563	19.526015901675915	19.991016787073306	36.802919699795254	13.713891962361632	6.561699578528022
207500	-220.2062490446947	-195.98226225766567	-24.223986787029013	1.0	0.11379604906739599	103.76712449100873	98.04785351315539	102.93742876845307	100.17354461553242	105.08759759483569	134.9606893401215	150.51938463188893	161.70717615678365	118.83430014084699	175.10836694368305	177.4118578435069	172.8247806840217	154.52252163487202	224.80820360133376	188.47721325468535	141.11608226597633	178.83433432278528	92.88346276517282	95.22903325013627	247.0000477915424	217.90441370054535	243.77356253092654	228.4613709085555	204.74385523839774	269.31042345986833	231.11367328771422	192.50002025276234	97.33079227017399	112.98900323138463	181.5034079374651	187.79794991864657	205.48478833395356	191.10724990901124	225.99182027991884	124.23885392098161	163.5063331804978	92.54080236538049	92.67312058678462	125.00260682418451	176.27736336294842	126.21484610947489	84.24986902020332	80.85941983484024	24.30488325680419	37.06115493658372	31.284048131851815	21.273758168088158	19.776017569612414	20.28225571353304	37.242787671322745	12.308590914570292	8.128493033007217
208000	-217.03704962482126	-189.40565382255116	-27.631395802270106	1.0	0.10730000970684972	86.61038143313976	94.9634541711182	107.2733899336972	102.00035398462678	119.01397910048891	140.83527542660198	169.88735432649426	166.61978377730918	109.7204828636752	180.41089219729486	185.99759716222664	167.7573459626929	147.89525430649115	215.63102228729218	174.6026637056116	147.74034539908695	170.77375360507753	96.25594757371204	105.32679062554027	242.66441044206948	190.8174980782578	247.51633223388149	225.53879915360574	191.08861337735274	273.20427182856645	225.7790092428581	204.34469986369558	94.43004479990744	130.77939149040554	175.74464704129815	185.32733040823018	197.72771400406316	196.64954777534706	222.40092691896788	108.13654273527182	147.41130328676476	80.92861410108907	85.23288553023812	131.88702254704725	182.88586021913915	127.23026006950495	79.97249078287712	80.46560582372453	34.8685397658868	41.70907861207131	28.899526856520446	18.032282660785093	17.417949896510226	18.20362958934107	29.95097734397073	15.52387286266945	6.202897339815132
208500	-216.77100400231774	-198.71542940434895	-18.0555745979688	1.0	0.05310038696433303	104.23071568345304	101.02084202514817	102.62905032381693	92.98742798010122	136.31769726365553	152.45307625940464	162.53710150577956	172.419220405818	119.48791560582619	165.8496892733801	188.43007651786388	169.96122586373124	150.89533634958667	215.1412304328645	175.321484310566	174.3246470360742	180.05836413928822	96.34059027656092	99.11196350867213	225.12508929203835	244.21757004354893	247.34427857400567	234.95925994652418	185.21053831403992	259.45440976969377	218.6675660518434	213.78464462320466	114.22403382932256	103.00112677995887	185.8038201059604	179.34446803306292	198.6123364039598	185.46799352796657	218.61917130112766	129.2671879484343	146.29941190519767	81.93529980980867	101.23923742883655	115.88567686388703	178.72076168307612	131.23326644425754	80.45367190447371	82.72588908777546	29.35733911395679	36.267092275756674	24.24212003363356	19.900802744940503	15.584262121230795	16.97535258604614	26.37965910578307	22.0395851672396	6.878651029720102
209000	-218.20414967698304	-197.02795964431536	-21.176190032667673	1.0	0.0626879806883698	115.82398899230219	114.6927692494339	129.01673504647857	94.94616581481296	101.71263792970385	142.1128188095018	153.99127649230292	159.50626569310725	115.71144230246875	167.40999642733152	183.73478878385805	173.08005612151888	149.99907002511873	217.4171947723889	159.86199654808942	139.59311102782084	172.81615299168502	99.14014202650148	95.2164437518719	240.12322709316007	219.892972020327	262.3887834309895	213.37630261561335	196.89403351282465	263.76385707940426	213.20068658013287	195.8886270812755	94.30479906842152	113.60428071645585	170.66951204743253	175.86132243689931	189.95897051644224	194.7545892746323	224.58539710056428	122.92679004585803	139.69154958687076	93.95250612686164	99.95448613781343	114.82205035563409	187.44730034216428	129.79861337809422	80.91533697599861	83.53444320044373	45.70048521605197	40.52602457568623	29.382604115142186	23.458503320188804	16.118662600737053	17.496246298447566	26.232347585682867	30.074641653399677	7.381094281152786
209500	-221.86723203647645	-206.5612856277589	-15.305946408717547	1.0	0.05791271112936699	120.14758775608178	116.91076750973359	125.58620998726745	111.50792920716158	140.43270911528015	146.26173359527425	151.56268797408836	153.18577553302495	133.8095778605109	181.65023125702317	179.58091828419492	163.91729894099177	156.5465433715277	208.41917546468062	168.13313073761623	196.88670658243853	183.49733596059113	102.36408671099187	106.2932697739408	235.43233350679841	242.53733270363398	252.57261167074734	241.0203981958748	206.32151479967717	267.60652103050575	215.98285446163206	197.01531786492757	98.27153145678523	90.50145333898107	166.5847470656575	202.48234857692321	212.8515298659512	199.90822270748396	221.08087125701513	119.50767690693026	134.51333101790914	92.43697949874911	97.72612739307814	108.69680825374469	177.57843058598417	134.40385130728848	81.08255112884038	84.22974775756418	43.86723745833332	53.51043688480648	36.703514644333445	21.278629698528377	14.876180511900277	16.36109260191469	25.774078676803086	18.326050754251604	6.1948864487787025
210000	-212.73015399040142	-187.10896816752577	-25.621185822875642	1.0	0.12454169218638711	119.46343776603258	117.18440234074401	144.5305394555507	103.0583299255833	142.23837727699475	133.4359541646007	150.48318460256255	171.58808760311695	138.8420519299014	174.9412316555957	180.36756574739223	173.52027440466946	147.3474936221373	207.9265491132294	178.38976966253668	152.94580812188642	177.6794126449542	93.54035023807725	102.83636957783187	227.79127797463963	221.78589749783447	249.5365721357038	230.73202659997168	196.3736282213002	277.8393669800985	212.48836768714722	196.80289659453803	98.60135585133958	92.54313011399854	174.33234436820646	185.71091061772353	204.09142464575694	196.94087374856556	211.01487850489124	119.07218984239849	145.42907004302953	82.07880981769443	100.12160661828611	117.91191965461694	181.1537125765566	122.38757679540541	83.44651445504505	89.84519539664188	38.93780189080682	47.44045071809133	33.43772554946756	17.41291223373185	15.5029639423134	14.738968027992065	29.446191835215643	19.733787876199653	4.642351508182415
210500	-210.93334582637902	-187.2388543067705	-23.69449151960854	1.0	0.09168604575032983	109.49137553657872	106.5796135456562	102.27432064191943	93.69328261387075	166.70781347252907	135.30545565828896	152.0938145513617	154.49459624973667	110.37577445688699	177.09878376618923	196.88417807140576	176.887437191123	145.93920350731526	205.83477192672393	185.4573724076387	173.9565947455782	168.66914614459068	91.81981111366193	102.75871809753977	225.8544386880854	208.7838251004052	262.08615286931325	217.82645146158674	205.90512727623417	270.4037032169785	211.91210469707764	199.54340929725177	87.63979061798472	129.6422313918145	160.8394877409136	192.4133304242032	199.24273019790184	187.4822825801686	213.03769866740822	123.13138853319742	145.2287967825202	96.36376009197514	91.72011851282059	120.1219455840815	175.78203085409245	121.86179400638974	81.6377399176202	86.20933224011179	45.18453482018729	47.73610081014872	35.21371929337898	15.111009659346422	12.609823824786666	14.29571195366697	39.102013856618655	18.389853058154134	6.492871322475181
