stg,start_age,speciesRT,speciesBC,speciesSIB,run,genusRT,genusBC,genusSIB
"(56,59.2]",23.03,183,112,164,9,280,200,228
"(59.2,61.6]",20.44,112,103,59,9,197,186,76
"(61.6,66]",15.97,149,86,128,9,239,169,190
"(66,72.1]",13.82,220,71,205,9,319,138,285
"(72.1,83.6]",11.63,240,109,224,9,343,189,305
"(83.6,86.3]",7.246,156,115,122,9,238,190,169
"(86.3,89.8]",5.333,107,78,71,9,183,150,105
"(89.8,93.9]",3.6,137,90,112,9,213,157,157
"(93.9,100]",2.58,180,91,173,9,254,158,237
"(100,113]",1.8,92,68,88,9,143,118,127
"(113,125]",0.781,42,28,38,9,73,61,58
"(125,129]",0.126,20,17,12,9,44,37,23
"(129,133]",0.0117,16,11,12,9,34,27,26
"(133,140]",0.0082,30,7,28,9,43,18,41
"(140,155]",0.0042,2,2,2,9,2,2,2
"(0.0042,0.0082]",139.8,13,9,5,10,17,7,11
"(0.0082,0.0117]",132.9,17,13,4,10,18,16,3
"(0.0117,0.126]",129.4,49,17,46,10,61,18,58
"(0.126,0.781]",125,52,42,38,10,67,53,48
"(0.781,1.8]",113,57,46,32,10,76,60,44
"(1.8,2.58]",100.5,65,55,30,10,90,75,45
"(2.58,3.6]",93.9,117,62,100,10,155,85,132
"(3.6,5.33]",89.8,148,105,124,10,206,143,178
"(5.33,7.25]",86.3,169,126,122,10,224,184,164
"(7.25,11.6]",83.6,189,144,143,10,269,200,210
"(11.6,13.8]",72.1,197,156,145,10,293,232,212
"(13.8,16]",66,227,181,167,10,328,273,242
"(16,20.4]",61.6,227,193,186,10,339,285,275
"(20.4,23]",59.2,194,176,140,10,290,272,200
"(23,28.1]",56,175,138,122,10,271,228,174
"(28.1,33.9]",47.8,154,120,102,10,256,214,161
"(33.9,37.8]",41.2,210,102,178,10,327,197,269
"(37.8,41.2]",37.8,227,149,174,10,361,261,267
"(41.2,47.8]",33.9,252,180,216,10,391,310,331
"(47.8,56]",28.1,265,165,251,10,384,276,340
"(56,59.2]",23.03,183,109,168,10,281,197,230
"(59.2,61.6]",20.44,109,101,54,10,193,185,69
"(61.6,66]",15.97,149,86,129,10,239,167,191
"(66,72.1]",13.82,219,69,204,10,318,138,284
"(72.1,83.6]",11.63,239,109,223,10,344,189,307
"(83.6,86.3]",7.246,151,111,118,10,239,191,169
"(86.3,89.8]",5.333,105,77,69,10,185,151,103
"(89.8,93.9]",3.6,138,87,114,10,214,160,158
"(93.9,100]",2.58,181,93,174,10,254,158,237
"(100,113]",1.8,92,68,88,10,143,118,127
"(113,125]",0.781,36,28,33,10,75,61,61
"(125,129]",0.126,26,17,20,10,44,39,21
"(129,133]",0.0117,15,11,11,10,33,27,26
"(133,140]",0.0082,32,8,30,10,44,18,42
"(140,155]",0.0042,2,2,2,10,2,2,2
"(0.0042,0.0082]",139.8,14,8,7,11,13,5,9
"(0.0082,0.0117]",132.9,17,13,4,11,18,12,6
"(0.0117,0.126]",129.4,49,17,46,11,61,18,58
"(0.126,0.781]",125,54,42,37,11,71,54,49
