it	posterior	likelihood	prior	q_multi	sig2_hp	t_0.006	t_0.069	t_0.454	t_1.29	t_2.19	t_3.09	t_4.466	t_6.29	t_7.437	t_9.629	t_12.725	t_14.538	t_15.613	t_18.205	t_21.662	t_22.957	t_25.565	t_29.306	t_32.206	t_35.85	t_37.97	t_39.67	t_43.484	t_46.784	t_50.598	t_54.698	t_57.6	t_60.112	t_61.312	t_63.8	t_67.326	t_70.376	t_74.19	t_79.94	t_83.754	t_85.104	t_88.05	t_90.668	t_92.718	t_96.532	t_99.832	t_103.646	t_109.896	t_113.71	t_118.233	t_123.524	t_127.2	t_129.538	t_131.288	t_135.102	t_138.552	t_142.365
5000	-177.45701321567674	-155.09375406433057	-22.36325915134618	1.0	0.08374337922296339	95.15731060638474	98.52835964522744	96.21814288273998	89.36200398397256	82.58595164016879	124.31384614813891	158.8065643018949	151.51349845434743	120.50320797218029	160.76275203562062	194.30677678828874	172.31247170054252	145.29098764351286	211.49767758267276	171.82885951950067	183.03954061586168	181.23035534238048	100.11695640082942	107.22265285187612	237.63297693698078	233.7372380926287	261.6221263705777	256.4562061724703	201.27340943057473	278.61184236873834	225.9044262805632	200.92048704590596	134.89994903833417	136.49767206100933	171.86540099530617	191.29776836185667	208.93650163979197	188.50653028573308	232.05277960235802	102.35450775325377	143.9314593467933	92.38893463018735	105.15949995570311	108.84065334767911	183.8979181855455	128.16587827328655	91.26671865886568	84.65413607261823	49.3051673073027	41.20816561012135	36.40899654100889	33.350006973967595	26.246255298121778	23.111039446628165	28.58742174118071	35.65630345397711	5.209716451807273
5500	-184.33871854473645	-166.00880463843788	-18.329913906298582	1.0	0.0644422310137654	89.67666915658674	92.09028711017035	85.65587801261742	98.47498560469815	112.26192164084758	119.84475661465669	151.8623233966123	160.65069157506173	129.66114285527118	170.9426521289468	190.05858907659024	179.59593980479974	150.64462464105856	214.5065425264676	181.34163152815677	181.83102556760122	177.76201166480385	95.09419242097617	96.72898272628782	228.45186814530825	181.80602298253183	246.7017224826273	266.2850944278995	196.30398606976908	265.78079495099587	223.8007359182107	211.01318438125534	131.54412659077877	135.4456917398261	180.4757980150217	188.02542103729274	211.49064298274504	193.0222876587965	224.52874531363457	130.93006033376872	151.40345522443374	86.46946028037351	110.18898135001612	118.00751739812641	181.4089369108639	138.48611061048493	95.57128664526863	82.38672513894495	40.1743581016422	44.33996473318477	25.214091591108524	41.56778981456275	22.61641787223901	26.40439380088744	40.28855438817493	32.00713663994429	7.338701650491204
6000	-210.1910377136721	-195.03964800809274	-15.151389705579364	1.0	0.0598812833560866	91.75573613095526	92.03815297741201	97.52678818094572	98.38909566779174	100.46048725902313	122.76306181152383	156.13495356689307	157.54733483539522	141.5478215180834	169.60537067984635	192.21482505731552	174.1621690387658	146.0325709536828	215.13779633557252	184.95266377879108	151.74383324582237	171.6691342544915	84.88023762739897	96.36336902002942	230.23238113003907	248.08276263540975	279.41795683370003	266.46703106661545	204.2759464937957	259.66351311628216	251.78932122840038	215.68337871741562	125.22073777305299	152.18916750481665	177.39337655925388	189.8888498534155	210.58326451390062	178.3524004795189	219.32144784068217	138.63199412278072	150.95875905949504	108.78815828089387	96.47532267503483	101.45835901774375	180.67413538442383	124.5833919685528	88.88004820664369	79.50324988687564	55.22395884309692	44.10385866480062	42.48625002921869	29.05406203077316	21.414292821884157	22.68645604393682	48.633747837614955	35.925891072836194	7.240108193114083
6500	-205.41064944280663	-182.3931415652276	-23.01750787757903	1.0	0.062145572876146485	110.66662442507857	105.3343929398616	103.94506369444699	100.47225226555167	94.87962274001502	119.94485954515584	145.25774983134318	148.20695243156217	138.6964904420102	173.333419258196	184.99565616345006	160.78885531131277	135.23524611970598	218.15952607119883	184.74792122889028	156.19832867024417	174.27672751808026	92.44345294061155	103.29884104773129	233.08175042030035	239.29352818388267	254.5448106549472	255.06002345554379	213.70985076538994	264.53143166754467	258.9085936614687	199.6388308085005	153.17700694958265	108.51350037794815	163.8876711258502	202.6707553315707	213.38792987620297	186.9484416118262	232.7258901249136	120.7215465344055	157.92245486217365	111.52884214032414	97.10115743455117	108.53303810109739	181.39960130232134	135.72175155084926	84.6340259043258	80.4537532039837	41.33629606925853	38.127179313975546	23.609590930095795	31.426390563860423	19.31126250326721	20.881456623584636	34.732171959247765	31.966513438192237	5.313183363545278
7000	-212.24564749560656	-188.13409537147794	-24.111552124128615	1.0	0.08430554315001627	129.41631351218905	123.66819373296681	110.92494769698254	83.40812264882808	70.95989585623553	113.4709677467201	150.46617453296255	152.26660494158017	136.72159463313886	176.16601871724976	190.327344793343	156.89823241779666	144.90392236747175	215.56935436923288	178.7786405555055	181.42833232779748	175.56729556923653	100.06762316832894	95.77482931899182	253.84013456718947	275.6785946487708	253.55606339207134	260.17752753761897	212.33512295976254	277.77928513430044	243.67600771000457	204.28651274047343	118.5456140925591	113.46590300535267	185.42702815350847	183.7605797951344	200.2328998686487	178.86690676004187	234.23911149469157	134.4630746913207	151.09290083141352	110.66566389256846	104.67814178840294	106.37328209946894	193.0454514482734	131.76019860637308	83.12542732300716	96.30693595317804	30.99845711404607	42.571476029041136	24.493507107538132	22.031237303714292	18.049797881717605	18.20575712259008	35.52252332253997	31.87531301556903	6.427748765538098
7500	-211.5646404346588	-183.35792164171883	-28.206718792939977	1.0	0.08006463905737354	125.2736434675224	124.8845543547672	135.34489283791444	116.29247241114525	97.99353882556768	114.90838648030163	168.26328045510598	158.7543140966647	145.89296889894973	161.42461684428844	188.66400108189623	161.84722579085576	149.3941506893093	210.63239495290625	167.2573713777852	192.1981813357573	177.06641524238532	92.09811437134178	100.1327865823692	238.0689887032998	216.30567920139464	252.9095150787776	264.86825384580607	194.10074533795267	274.515301885749	234.3393270444158	209.32752391150964	118.18752310358698	81.0158619438901	180.81411290473332	209.62427749758984	215.30688489170814	184.1273947233213	231.29643311152066	105.34580949702323	149.5236213711711	94.46801914328375	96.23201232113843	107.2545350464105	178.98912117485395	139.36113952373745	85.31859489787831	89.11050822417918	47.04631677618654	44.29316294066622	23.937860174607813	20.193483554419192	20.93729647096452	19.0828433230402	32.99802529124827	37.14078268554246	6.146447957137207
8000	-204.22091218898137	-184.9416363604906	-19.27927582849077	1.0	0.06006970966468165	101.08480541282935	100.73157699215862	109.36777505990354	108.0484798200598	114.86241623092653	134.33661358282166	156.2057201257138	161.15894695146514	148.05649391309038	167.67903420131026	183.4848544236911	172.35252037096012	147.25559686256574	215.68065788094745	182.53700054846468	166.19782002222158	184.6219712813997	93.74354384124626	100.23632190231557	243.3779483035488	212.15169702378367	250.74351267446974	256.0701408261174	217.80115447677215	273.6469201668042	265.69974821241817	199.9892118439378	132.71542185197148	151.8402779467177	167.48975068937335	197.29727327400042	202.00529517110402	187.49992778770206	225.95284001522893	128.790869784343	155.16358688780937	99.7833801833247	97.9048655067403	115.35448313337729	180.49117446972627	128.25195074301953	91.07117992160386	84.05364876838351	47.294332861939914	46.12592080044696	22.449883067216966	19.26467800799874	20.78173492026043	22.24675557669567	43.15647305824925	45.03334261587564	5.940397823537269
8500	-194.89308386826724	-176.9802950698561	-17.912788798411114	1.0	0.08184707525576622	93.03191549523359	93.35475997846947	88.83434344250135	99.86340037276243	113.4500816207054	125.21920535108187	160.0510940967411	158.4992090145231	130.74242050807226	169.52334571772985	193.09854532678028	176.36592970970247	147.0573354472374	208.627414127349	167.9938810420176	172.58058462325846	180.34558282658188	97.47959585611034	105.63479630902626	241.48946324969586	258.059151187395	244.37927081277894	256.6903571317215	207.17413600468123	274.15269418935225	224.12686126338969	208.7459203105847	125.37289468650339	101.41386800776029	176.1532506752955	189.25778256966484	208.51076835093008	176.09772209570767	235.6679704235092	112.13497977582188	137.4687273058295	96.97461898162373	100.57076100534731	118.71667301527953	183.03283620683388	116.61981032163948	90.20980411383223	79.71164648209196	30.05200092955239	44.43805695547242	23.142309557282978	18.6691367275275	21.59687283112328	24.27447166187514	35.862597637480974	38.57519110268561	10.39146312093593
9000	-206.33075049814698	-189.436936331033	-16.893814167113995	1.0	0.04636021529999275	101.89673851163322	101.40421684301407	95.37106526699537	117.47385490124083	93.50032928482048	127.77224563281901	158.20019724125888	157.51565205914585	159.14448783211108	169.03058755021192	190.77122289033417	174.11215056723103	137.30733323619125	212.52693912899798	170.31475531489593	160.11850433756538	181.38821364417277	96.93048609569766	106.31695016264794	230.90152854535498	208.97320020650452	252.6759125960317	257.39985704573877	188.62326565654914	260.36081884558695	246.8867984132475	206.704434497681	124.14286954557821	138.95043066656316	185.30495919475652	193.20415828111004	202.3582145319592	194.2153169523622	231.22162940221892	149.61486989081084	139.90457296152127	94.45412685914783	102.87933024782286	112.52510572106807	187.91244406530652	130.75001363082583	81.53031815205236	84.49557095675978	43.4537561497316	44.607835328697334	24.01272101377888	20.65278912048987	19.005928420428603	20.832418981243663	30.036345233693154	28.869429479121152	6.162901578187748
9500	-198.02721765598028	-183.2506629065058	-14.776554749474474	1.0	0.05428439826870283	101.36698692576827	100.591356681456	109.06773813513486	100.51719801746809	101.63458882903946	125.59917874634374	156.12003810787596	155.04910988262526	146.6296166167591	166.81630386194473	194.4699941753068	175.95439881958075	143.8198224785691	211.13745985956155	167.55561699514914	181.57813722906198	173.25283177505912	99.47489684498088	107.97353316117285	235.4019192573306	199.52958931688826	247.8303384476631	250.9121281028079	208.0359459429332	273.1561574391671	229.18929669827253	196.72895866433396	155.5732854717369	156.14805118584388	162.47202165290904	192.56611408436737	201.25039621246287	174.75893374033274	236.86242435331388	116.00407480270508	148.0410564938616	93.56678637031752	104.24248646742278	104.13915551854721	174.11555112654898	132.94199086923723	87.32441475554606	82.09061181049188	32.53283243550576	42.16919537576251	19.833258022319875	28.31743131323437	21.93761165520303	22.512086561179814	26.811855582066595	32.882458788683245	7.152849548249889
10000	-208.71517679564636	-186.5680850193435	-22.147091776302872	1.0	0.09721854678200446	108.31716155333851	101.51371462924382	105.74118101449709	109.02005761560035	114.69838645421389	119.3863033382786	155.99564128212165	158.72248871941068	139.25092625658098	172.09562273850747	191.87574333031267	182.47983799055112	144.69112634218496	211.58237766003143	177.20296858544424	146.27748540869354	167.02755909186433	97.36036149811656	104.30859662251439	218.34724929414477	250.42399476290308	254.79275798936763	276.3800499898565	187.75833932884956	274.4493858046887	250.34595733218185	211.9320909761471	150.30472447622043	116.78551501634023	151.70753220198614	186.09621223887876	211.31981279207636	177.79370075700186	235.64527958887018	116.93318278941594	151.71988285480137	87.98136411945525	101.51417691924175	105.0560687020098	173.72780582541688	126.11790981310212	88.33976618700616	77.3167438668282	38.38166697950305	42.53796963157507	16.08954388339497	25.38840347672638	22.367748457474995	23.606048876412892	28.592689237658792	33.44340088999108	5.915473178878031
10500	-199.92804143364665	-174.7450896542257	-25.182951779420964	1.0	0.08975971296493065	98.04270969887378	95.59041153770164	101.26641435101058	85.41665381335699	105.1008941167955	123.42212841449634	156.58183494188555	151.33375119587478	128.2076247949551	174.98028870287956	193.768550628851	157.55533780206883	133.5060566614223	214.20962602620008	168.7954955526004	174.7620587685379	184.3386183471578	91.43633053085799	106.00869774289644	213.2757906920861	226.7837620936824	275.5336288859195	244.2240023208145	187.65426842422363	272.4239096645098	244.06059574752638	215.83992122329167	130.23319076166456	115.00774984467674	166.02328808409362	179.0102108912442	207.66958494559032	173.95068271436742	230.0329554946952	128.25445244981302	151.5092580852347	96.10349564973441	101.15541877599428	101.59231229811618	174.6793924533607	131.5763652771474	83.18058276239947	82.29907119327565	39.903140101856096	35.57421505998973	18.541273951525557	30.29648987424237	22.897263917177067	20.736107092736088	29.308873830343433	35.89872133210229	4.463932801243978
11000	-209.36375086794297	-182.3224692190525	-27.041281648890482	1.0	0.09500969224285863	100.46852330451443	94.52610118800177	93.7907582683865	91.49729521226539	88.61288637511466	132.8312223761589	154.00807019033527	160.13965984657568	125.68316327018148	175.03060005916726	184.89559875733016	167.4082039222418	131.0278154912899	211.16934247494171	168.83027816558786	163.67093280942362	160.9036388448168	95.93010917562611	96.50927790732364	220.0051025312335	200.02981622859653	261.84184672798904	241.44840258858224	194.17684183197514	270.9134253678677	240.79503455377917	202.1853894183523	143.01774913179398	138.7421143427119	177.95612733777455	171.4877274504155	196.52608086232337	189.72907453397164	232.63329847160338	144.5939032332018	139.8131207721004	101.4161523189506	103.23405636158492	90.04257248463405	174.61229899575943	138.25601803977915	88.44247231468867	77.09061172001975	41.351372529101624	37.226939288872984	19.224155176251983	24.73346129627257	18.336173758693274	20.9061263710674	40.015797055519634	37.72171907136665	4.2926395410087945
11500	-217.0437746307718	-186.55157588111405	-30.492198749657746	1.0	0.08635841055663536	96.14982222061859	92.14015157785585	92.16549635495701	102.36756056964477	83.64638732902134	130.34428277032703	160.42187531255047	143.29195292077026	115.11349881702793	165.82997274231528	179.65789772302875	158.5209228004733	142.4416072623162	215.76062925878978	184.3870704777306	182.02940248221262	181.62203835208925	101.57150600514836	101.68784673125396	223.76090814571134	223.95251358762454	251.17853280153088	240.79471108920183	187.67344029680177	265.74944667177715	229.44760876740227	214.65966085735874	148.61651164844585	146.8069006034501	177.33028930132346	179.408655171638	198.6104768038015	179.4769751768313	235.67366847873663	114.80921824724608	149.62058033961307	96.15192011602355	92.62297000897216	87.7110018046994	174.0585423916087	135.42738415110864	93.05809856116124	82.52669052890917	33.89089508377664	32.57840090752223	19.436555700524487	21.17470748251646	31.412328749511346	21.001867116101188	53.111824316293855	36.17570187185534	4.320050351240113
12000	-210.32310121198734	-185.69362738902166	-24.62947382296567	1.0	0.06799486007783322	100.6653731074308	101.72894014703124	86.96636851181276	80.36034863389159	72.02706596027036	123.46561980640556	158.6744735832159	165.21109244820568	104.35214053824275	168.025311087561	189.26586327958222	176.25411689239507	148.28590260896937	217.49739748330674	181.46468789162745	157.1585521361608	163.8680917142217	100.26732711178789	104.35791118455555	226.24933319120981	228.64048486303003	265.8686940317466	240.55895183573244	187.42994615029025	273.0038974283789	229.16057809251322	216.5401696864771	144.69569255762576	140.54689756142687	163.64719777178703	200.93803684880376	204.56673780255235	181.488297523191	218.99413747952283	133.6597496742324	145.2713471562935	99.63818337375372	107.1007038416222	100.39161841331594	179.90983153714535	134.6399387228952	81.68201624009897	79.15951043288806	39.058913760501646	36.742564431360236	23.463599793047432	23.686601415950022	23.15339126956241	20.799156425568533	44.5077904979113	34.66839876425642	6.0861597061490125
12500	-204.90854872443126	-176.46266770606752	-28.445881018363742	1.0	0.12224177239162591	94.70051030433187	90.36494183196663	90.35773399982688	79.0770235845408	101.95049231639668	126.30781245119861	153.4941447875816	143.49574587365905	124.41007657221529	166.4147068993018	189.79045787681608	162.08919356447214	144.28944847342845	217.253359327233	157.43384373855292	162.75825543962443	169.3250014784952	103.48942389633582	97.09647244736027	222.36912157775208	252.39551281881128	251.5106350223801	253.2508579732417	192.77884317926856	277.2299314692292	235.45727744651418	212.0661710068388	123.08942963419021	133.00326644193188	158.83560183162865	178.27377463396968	198.93462809713185	184.25434342446064	231.9632869806139	117.20541183603918	144.24100936468628	92.04216226291818	100.70505972830057	106.05388441940423	175.99771305858843	146.71139907908244	81.53190898704268	85.23310786421402	25.92355222570176	39.950948303589485	20.395700433995778	22.07997347822585	21.727270759261327	18.92327421247273	36.73230108505074	41.16555966775855	4.314830702366663
13000	-192.61284496627346	-167.59363361865795	-25.01921134761552	1.0	0.08385180268713016	102.70735291950768	99.12507725108173	95.43323210230432	104.79111507256994	97.33324645103261	120.14042659518934	164.0335590401731	163.2694618936391	144.93085629371834	176.9144453881064	179.05164200560088	178.77071107908571	141.06136163910082	218.69023374732532	178.6544590283692	195.30516203073503	161.47195287443648	102.30970319517618	96.68885040858542	230.68432658073908	254.77828100969404	257.0728084143205	260.3896979861532	226.0057781294903	283.2130050935773	252.28059105114858	214.1938712851655	169.03445954796769	132.10676226407202	166.17374259105438	199.3845512354192	208.38889808489068	183.17162851041053	231.3997221833614	121.00854557245415	153.60238106307065	103.16835984345607	102.05516471436165	107.99230939101005	177.9877819474071	141.72715483291006	88.74004707536616	94.35280451297234	30.319764948312812	38.778069259613005	19.813681160009313	24.48772428765396	19.408264542236854	21.48097211899719	41.12142422855264	30.2456957794674	3.764607226421474
13500	-188.27834277874678	-166.47723535488282	-21.801107423863954	1.0	0.10246668664078376	99.28701204286187	95.08820374322399	96.90380307764127	118.82517318883293	85.15347058215387	121.13642387632463	160.11880817516897	150.98143487801215	136.4025112985259	163.01058001220215	189.9103682841834	157.84741683088234	141.7072842567777	213.1508608519144	175.4045846581557	199.02105611274507	175.07424840927197	103.90881221861946	103.91000888464836	243.78996361290177	243.70764742907176	258.7667267390104	263.17397627924845	198.18527683954466	272.5515462396482	245.3479836686031	210.819098018336	159.2196131419787	122.93721180212603	169.25262561916477	188.16807466780244	221.83660218508317	175.815620477158	227.89353228657504	110.50791755597307	135.68951278750095	101.23544614210557	108.16764446001552	111.43443882918982	183.83446040101032	132.0420425846714	81.82620586396709	84.12876566040954	30.81891977152931	38.76612544840717	18.962902067888205	25.35959536778244	23.471929576670203	22.96640169642977	35.678570145570376	21.607571212587356	4.833691896461599
14000	-190.22737128418615	-171.8131734607109	-18.41419782347524	1.0	0.048991471368764854	114.8894363471217	112.41057306370192	114.15826386744459	109.68950357290161	101.83258900420235	115.2453059363774	152.4593430122482	158.81164931752664	147.24041165533058	170.4665308133975	181.40377515236338	159.83394117635672	142.7143691672954	206.73685334171185	173.3828244699567	167.58031998814542	185.95014523284885	93.03690157145257	95.08780241483893	233.02067678841922	268.681657207325	266.00059651197927	244.7555891563358	212.01847745620904	275.9425472591218	237.2648734041362	212.55635841474452	132.30351615405266	152.25291047899927	180.81080313273333	200.1476987337488	215.0227678280004	174.82210588869987	231.32602516476436	109.17252355838217	141.60459575561245	108.10820995977426	99.15318737139683	112.51587613338515	185.95323561186703	141.8870604577987	87.55329586921505	79.37110151251503	43.09312977058671	37.69622940348436	19.80258851706293	32.347262857641184	17.952503716946676	21.04880515048075	32.54722760653114	24.34834566099684	4.75379364049957
