stg,mid_age,run,metric,diversity
78,87.545,3,genusBC,16
78,87.545,3,genusSIB,32.85
79,84.675,3,speciesRT,7.58
79,84.675,3,speciesBC,7.58
79,84.675,3,speciesSIB,0
79,84.675,3,genusRT,18.62
79,84.675,3,genusBC,18.62
79,84.675,3,genusSIB,0
80,77.91,3,speciesRT,23.46
80,77.91,3,speciesBC,7.58
80,77.91,3,speciesSIB,20.41
80,77.91,3,genusRT,40.83
80,77.91,3,genusBC,18.62
80,77.91,3,genusSIB,30.82
81,69.105,3,speciesRT,22.77
81,69.105,3,speciesBC,7.3
81,69.105,3,speciesSIB,20.82
81,69.105,3,genusRT,40.21
81,69.105,3,genusBC,17.9
81,69.105,3,genusSIB,32.11
82,63.85,3,speciesRT,25.14
82,63.85,3,speciesBC,3.08
82,63.85,3,speciesSIB,24.59
82,63.85,3,genusRT,42.96
82,63.85,3,genusBC,12.91
82,63.85,3,genusSIB,36.72
83,58.83,3,speciesRT,23.37
83,58.83,3,speciesBC,6.22
83,58.83,3,speciesSIB,20.39
83,58.83,3,genusRT,37.51
83,58.83,3,genusBC,16.3
83,58.83,3,genusSIB,26.77
84,52.035,3,speciesRT,29.3
84,52.035,3,speciesBC,8.38
84,52.035,3,speciesSIB,26.12
84,52.035,3,genusRT,46.59
84,52.035,3,genusBC,19.48
84,52.035,3,genusSIB,35.7
85,44.55,3,speciesRT,29.82
85,44.55,3,speciesBC,10.09
85,44.55,3,speciesSIB,27.11
85,44.55,3,genusRT,53.75
85,44.55,3,genusBC,22.57
85,44.55,3,genusSIB,44.24
86,39.37,3,speciesRT,8.09
86,39.37,3,speciesBC,7.45
86,39.37,3,speciesSIB,1
86,39.37,3,genusRT,21.5
86,39.37,3,genusBC,20.95
86,39.37,3,genusSIB,1
87,35.805,3,speciesRT,20.06
87,35.805,3,speciesBC,7.45
87,35.805,3,speciesSIB,17.83
87,35.805,3,genusRT,38.5
87,35.805,3,genusBC,20.83
87,35.805,3,genusSIB,28.93
88,30.595,3,speciesRT,11.98
88,30.595,3,speciesBC,4.09
88,30.595,3,speciesSIB,9.16
88,30.595,3,genusRT,26.8
88,30.595,3,genusBC,15.9
88,30.595,3,genusSIB,14.98
89,25.165,3,speciesRT,6.5
89,25.165,3,speciesBC,5.49
89,25.165,3,speciesSIB,1.22
89,25.165,3,genusRT,17.99
89,25.165,3,genusBC,16.96
89,25.165,3,genusSIB,1.26
90,19.515,3,speciesRT,17.56
90,19.515,3,speciesBC,5.62
90,19.515,3,speciesSIB,14.58
90,19.515,3,genusRT,34.9
90,19.515,3,genusBC,17.17
90,19.515,3,genusSIB,24.76
91,13.81,3,speciesRT,15.69
91,13.81,3,speciesBC,8.43
91,13.81,3,speciesSIB,11.69
91,13.81,3,genusRT,30.55
91,13.81,3,genusBC,19.36
91,13.81,3,genusSIB,19.88
92,8.48,3,speciesRT,16.48
92,8.48,3,speciesBC,7.68
92,8.48,3,speciesSIB,13.43
92,8.48,3,genusRT,28.01
92,8.48,3,genusBC,17.13
92,8.48,3,genusSIB,21.33
93,3.96,3,speciesRT,11.18
93,3.96,3,speciesBC,6.24
93,3.96,3,speciesSIB,9.4
93,3.96,3,genusRT,18.16
93,3.96,3,genusBC,12.13
93,3.96,3,genusSIB,13.69
94,1.30085,3,speciesRT,11.28
94,1.30085,3,speciesBC,3.24
94,1.30085,3,speciesSIB,11.28
94,1.30085,3,genusRT,15.6
94,1.30085,3,genusBC,6.69
94,1.30085,3,genusSIB,15.6
70,140.4,4,speciesRT,NA
70,140.4,4,speciesBC,NA
70,140.4,4,speciesSIB,NA
70,140.4,4,genusRT,21.67
70,140.4,4,genusBC,0.23
70,140.4,4,genusSIB,21.44
71,135.15,4,speciesRT,1.15
71,135.15,4,speciesBC,0.15
71,135.15,4,speciesSIB,1
71,135.15,4,genusRT,5.95
71,135.15,4,genusBC,5.36
71,135.15,4,genusSIB,1
72,129.55,4,speciesRT,5.85
72,129.55,4,speciesBC,0.54
72,129.55,4,speciesSIB,5.62
72,129.55,4,genusRT,13.29
72,129.55,4,genusBC,5.39
72,129.55,4,genusSIB,9.48
73,123.95,4,speciesRT,2.69
73,123.95,4,speciesBC,1.91
73,123.95,4,speciesSIB,1
73,123.95,4,genusRT,8.08
73,123.95,4,genusBC,7.56
73,123.95,4,genusSIB,1
74,117.3,4,speciesRT,8.44
74,117.3,4,speciesBC,1.94
74,117.3,4,speciesSIB,7.07
74,117.3,4,genusRT,17.93
74,117.3,4,genusBC,7.61
74,117.3,4,genusSIB,12.74
75,106.85,4,speciesRT,12.35
75,106.85,4,speciesBC,3.11
75,106.85,4,speciesSIB,11.15
75,106.85,4,genusRT,22.61
75,106.85,4,genusBC,10.44
75,106.85,4,genusSIB,15.43
76,97.2,4,speciesRT,19.14
76,97.2,4,speciesBC,3.29
76,97.2,4,speciesSIB,17.76
76,97.2,4,genusRT,33.03
76,97.2,4,genusBC,11.49
76,97.2,4,genusSIB,25.41
77,91.645,4,speciesRT,14.96
77,91.645,4,speciesBC,5.03
77,91.645,4,speciesSIB,12.64
77,91.645,4,genusRT,29.17
77,91.645,4,genusBC,15
77,91.645,4,genusSIB,19.43
78,87.545,4,speciesRT,25.59
78,87.545,4,speciesBC,5.65
78,87.545,4,speciesSIB,23.54
78,87.545,4,genusRT,41.93
78,87.545,4,genusBC,16.37
78,87.545,4,genusSIB,32.37
79,84.675,4,speciesRT,7.61
79,84.675,4,speciesBC,7.61
79,84.675,4,speciesSIB,0
79,84.675,4,genusRT,18.36
79,84.675,4,genusBC,18.36
79,84.675,4,genusSIB,0
80,77.91,4,speciesRT,23.49
80,77.91,4,speciesBC,7.61
80,77.91,4,speciesSIB,20.61
80,77.91,4,genusRT,41.37
80,77.91,4,genusBC,18.36
80,77.91,4,genusSIB,31.63
81,69.105,4,speciesRT,22.65
81,69.105,4,speciesBC,7.09
81,69.105,4,speciesSIB,20.81
81,69.105,4,genusRT,39.68
81,69.105,4,genusBC,17.88
81,69.105,4,genusSIB,32.02
82,63.85,4,speciesRT,24.97
82,63.85,4,speciesBC,2.94
82,63.85,4,speciesSIB,24.41
82,63.85,4,genusRT,42.29
82,63.85,4,genusBC,12.59
82,63.85,4,genusSIB,36.38
83,58.83,4,speciesRT,22.26
83,58.83,4,speciesBC,5.82
83,58.83,4,speciesSIB,19.59
83,58.83,4,genusRT,37.09
83,58.83,4,genusBC,16.09
83,58.83,4,genusSIB,26.6
84,52.035,4,speciesRT,30.1
84,52.035,4,speciesBC,8.46
84,52.035,4,speciesSIB,27.03
84,52.035,4,genusRT,46.55
84,52.035,4,genusBC,19.44
84,52.035,4,genusSIB,35.72
85,44.55,4,speciesRT,29.54
85,44.55,4,speciesBC,10.07
85,44.55,4,speciesSIB,26.99
85,44.55,4,genusRT,51.94
85,44.55,4,genusBC,22.52
85,44.55,4,genusSIB,42.18
86,39.37,4,speciesRT,8.64
86,39.37,4,speciesBC,7.89
86,39.37,4,speciesSIB,1
86,39.37,4,genusRT,21.09
86,39.37,4,genusBC,20.52
86,39.37,4,genusSIB,1
87,35.805,4,speciesRT,20.11
87,35.805,4,speciesBC,8.07
87,35.805,4,speciesSIB,17.76
87,35.805,4,genusRT,37.62
87,35.805,4,genusBC,20.51
87,35.805,4,genusSIB,28.56
88,30.595,4,speciesRT,12.16
88,30.595,4,speciesBC,4.06
88,30.595,4,speciesSIB,9.5
88,30.595,4,genusRT,26.32
88,30.595,4,genusBC,15.27
88,30.595,4,genusSIB,15.12
89,25.165,4,speciesRT,6.27
89,25.165,4,speciesBC,5.23
89,25.165,4,speciesSIB,1.21
89,25.165,4,genusRT,17.52
89,25.165,4,genusBC,16.42
89,25.165,4,genusSIB,1.2
90,19.515,4,speciesRT,17.44
90,19.515,4,speciesBC,5.34
90,19.515,4,speciesSIB,14.63
90,19.515,4,genusRT,34.28
90,19.515,4,genusBC,16.58
90,19.515,4,genusSIB,24.56
91,13.81,4,speciesRT,16.64
91,13.81,4,speciesBC,8.33
91,13.81,4,speciesSIB,12.65
91,13.81,4,genusRT,29.56
91,13.81,4,genusBC,18.85
91,13.81,4,genusSIB,19.59
